frame,filename,x,y,z,az,pitch,roll,bearing,elevation,reproj_err_px
94,000094.png,-1.163645,-0.944657,3.516657,-18.309,14.307,0.000,-18.309,15.036,0.178
95,000095.png,-1.143684,-0.943658,3.513012,-18.033,14.328,0.000,-18.033,15.036,0.171
96,000096.png,-1.144616,-0.958180,3.558598,-17.830,14.377,0.000,-17.830,15.070,0.362
97,000097.png,-1.107834,-0.938901,3.497500,-17.576,14.355,0.000,-17.576,15.027,0.413
98,000098.png,-1.098435,-0.950332,3.536567,-17.254,14.393,0.000,-17.254,15.041,0.140
99,000099.png,-1.079505,-0.950313,3.536568,-16.974,14.413,0.000,-16.974,15.041,0.138
100,000100.png,-1.057505,-0.948964,3.530824,-16.673,14.438,0.000,-16.673,15.044,0.092
101,000101.png,-1.050513,-0.957172,3.566934,-16.410,14.435,0.000,-16.410,15.021,0.360
102,000102.png,-1.020143,-0.949343,3.532311,-16.109,14.478,0.000,-16.109,15.043,0.095
103,000103.png,-1.001442,-0.949523,3.533024,-15.825,14.497,0.000,-15.825,15.043,0.097
104,000104.png,-0.995880,-0.961887,3.584950,-15.525,14.495,0.000,-15.525,15.019,0.111
105,000105.png,-0.978116,-0.958982,3.587414,-15.251,14.462,0.000,-15.251,14.966,0.392
106,000106.png,-0.967144,-0.969548,3.618564,-14.964,14.513,0.000,-14.964,14.999,0.109
107,000107.png,-0.934139,-0.953267,3.578007,-14.632,14.455,0.000,-14.632,14.918,0.391
108,000108.png,-0.914657,-0.955705,3.586275,-14.308,14.479,0.000,-14.308,14.922,0.142
109,000109.png,-0.901173,-0.957503,3.600404,-14.052,14.466,0.000,-14.052,14.893,0.334
110,000110.png,-0.880195,-0.955261,3.584492,-13.796,14.510,0.000,-13.796,14.922,0.295
111,000111.png,-0.868682,-0.962074,3.617169,-13.504,14.500,0.000,-13.504,14.894,0.095
112,000112.png,-0.845752,-0.957432,3.596747,-13.232,14.527,0.000,-13.232,14.906,0.113
113,000113.png,-0.825489,-0.956279,3.592344,-12.941,14.544,0.000,-12.941,14.906,0.113
114,000114.png,-0.805265,-0.955113,3.587894,-12.650,14.560,0.000,-12.650,14.907,0.113
115,000115.png,-0.783581,-0.952488,3.585631,-12.327,14.548,0.000,-12.327,14.876,0.166
116,000116.png,-0.764955,-0.952770,3.578963,-12.065,14.592,0.000,-12.065,14.907,0.112
117,000117.png,-0.754003,-0.961206,3.625863,-11.747,14.550,0.000,-11.747,14.847,0.130
118,000118.png,-0.734182,-0.960585,3.623566,-11.454,14.564,0.000,-11.454,14.847,0.123
119,000119.png,-0.714285,-0.961954,3.626382,-11.143,14.588,0.000,-11.143,14.856,0.066
120,000120.png,-0.695097,-0.962251,3.627533,-10.847,14.602,0.000,-10.847,14.856,0.067
121,000121.png,-0.675897,-0.962550,3.628693,-10.551,14.616,0.000,-10.551,14.856,0.069
122,000122.png,-0.650401,-0.954442,3.607351,-10.221,14.595,0.000,-10.221,14.820,0.153
123,000123.png,-0.627933,-0.955874,3.606129,-9.878,14.635,0.000,-9.878,14.846,0.093
