   frame             x             y             z          roll         pitch           yaw
     166     -0.002493     -0.018563      4.133291     -0.154050     -0.249600   -177.034542
     167     -0.002493     -0.018563      4.133291     -0.154050     -0.249600   -177.034542
     168     -0.002493     -0.018563      4.133291     -0.166902     -0.241195   -174.034526
     169     -0.002493     -0.018563      4.133291     -0.166902     -0.241195   -174.034526
     170     -0.002493     -0.018563      4.133291     -0.166902     -0.241195   -174.034526
     171     -0.002493     -0.018563      4.133291     -0.179296     -0.232130   -171.034514
     172     -0.002493     -0.018563      4.133291     -0.179296     -0.232130   -171.034514
     173     -0.002493     -0.018563      4.133291     -0.191199     -0.222428   -168.034506
     174     -0.002493     -0.018563      4.133291     -0.191199     -0.222428   -168.034506
     175     -0.002493     -0.018563      4.133291     -0.191199     -0.222428   -168.034506
     176     -0.002493     -0.018563      4.133291     -0.202578     -0.212117   -165.034503
     177     -0.002493     -0.018563      4.133291     -0.202578     -0.212117   -165.034503
     178     -0.002493     -0.018563      4.133291     -0.202578     -0.212117   -165.034503
     179     -0.002493     -0.018563      4.133291     -0.213402     -0.201224   -162.034503
     180     -0.002493     -0.018563      4.133291     -0.213402     -0.201224   -162.034503
     181     -0.002493     -0.018563      4.133291     -0.213402     -0.201224   -162.034503
     182     -0.002493     -0.018563      4.133291     -0.223641     -0.189780   -159.034507
     183     -0.002493     -0.018563      4.133291     -0.223641     -0.189780   -159.034507
     184     -0.002493     -0.018563      4.133291     -0.223641     -0.189780   -159.034507
     185     -0.002493     -0.018563      4.133291     -0.233266     -0.177815   -156.034516
     186     -0.002493     -0.018563      4.133291     -0.233266     -0.177815   -156.034516
     187     -0.002493     -0.018563      4.133291     -0.242253     -0.165363   -153.034528
     188     -0.002493     -0.018563      4.133291     -0.242253     -0.165363   -153.034528
     189     -0.002493     -0.018563      4.133291     -0.242253     -0.165363   -153.034528
     190     -0.002493     -0.018563      4.133291     -0.250575     -0.152458   -150.034544
     191     -0.002493     -0.018563      4.133291     -0.250575     -0.152458   -150.034544
     192     -0.002493     -0.018563      4.133291     -0.250575     -0.152458   -150.034544
     193     -0.002493     -0.018563      4.133291     -0.258211     -0.139135   -147.034564
     194     -0.002493     -0.018563      4.133291     -0.258211     -0.139135   -147.034564
     195     -0.002493     -0.018563      4.133291     -0.265139     -0.125431   -144.034587
     196     -0.002493     -0.018563      4.133291     -0.265139     -0.125431   -144.034587
     197     -0.002493     -0.018563      4.133291     -0.265139     -0.125431   -144.034587
     198     -0.002493     -0.018563      4.133291     -0.271340     -0.111383   -141.034614
     199     -0.002493     -0.018563      4.133291     -0.271340     -0.111383   -141.034614
     200     -0.002493     -0.018563      4.133291     -0.271340     -0.111383   -141.034614
     201     -0.002493     -0.018563      4.133291     -0.276797     -0.097029   -138.034643
     202     -0.002493     -0.018563      4.133291     -0.276797     -0.097029   -138.034643
     203     -0.002493     -0.018563      4.133291     -0.276797     -0.097029   -138.034643
     204     -0.002493     -0.018563      4.133291     -0.281496     -0.082410   -135.034675
