frame,filename,x,y,z,az,pitch,roll,bearing,elevation,reproj_err_px
111,000111.png,-0.341671,-1.229442,3.406463,-5.728,19.754,0.000,-5.728,19.845,0.139
112,000112.png,-0.316117,-1.209470,3.372854,-5.354,19.648,0.000,-5.354,19.727,0.120
113,000113.png,-0.305393,-1.218000,3.408370,-5.120,19.592,0.000,-5.120,19.665,0.132
114,000114.png,-0.290962,-1.210750,3.404761,-4.884,19.510,0.000,-4.884,19.576,0.122
115,000115.png,-0.281269,-1.201474,3.397533,-4.733,19.414,0.000,-4.733,19.475,0.287
116,000116.png,-0.270970,-1.177911,3.351733,-4.622,19.305,0.000,-4.622,19.363,0.321
117,000117.png,-0.268341,-1.173725,3.356429,-4.571,19.218,0.000,-4.571,19.274,0.221
118,000118.png,-0.268085,-1.160787,3.353395,-4.571,19.037,0.000,-4.571,19.093,0.217
119,000119.png,-0.275693,-1.141633,3.346180,-4.710,18.779,0.000,-4.710,18.838,0.008
120,000120.png,-0.274760,-1.115282,3.307482,-4.749,18.575,0.000,-4.749,18.634,0.117
121,000121.png,-0.284491,-1.119048,3.349423,-4.855,18.413,0.000,-4.855,18.475,0.091
122,000122.png,-0.292591,-1.109387,3.341381,-5.004,18.302,0.000,-5.004,18.367,0.172
123,000123.png,-0.297873,-1.085503,3.290763,-5.172,18.186,0.000,-5.172,18.256,0.133
124,000124.png,-0.313264,-1.088396,3.331365,-5.372,18.019,0.000,-5.372,18.093,0.255
125,000125.png,-0.318400,-1.079530,3.331676,-5.459,17.877,0.000,-5.459,17.953,0.149
126,000126.png,-0.322871,-1.054554,3.276021,-5.629,17.763,0.000,-5.629,17.843,0.138
127,000127.png,-0.324760,-1.036571,3.234963,-5.733,17.684,0.000,-5.733,17.767,0.206
128,000128.png,-0.333581,-1.027789,3.223849,-5.908,17.595,0.000,-5.908,17.683,0.221
129,000129.png,-0.344924,-1.032996,3.269949,-6.021,17.441,0.000,-6.021,17.532,0.324
130,000130.png,-0.344222,-1.015660,3.231460,-6.080,17.356,0.000,-6.080,17.448,0.245
131,000131.png,-0.343451,-1.013092,3.232912,-6.064,17.308,0.000,-6.064,17.399,0.133
132,000132.png,-0.342098,-1.018354,3.246120,-6.016,17.327,0.000,-6.016,17.417,0.126
133,000133.png,-0.328741,-0.996708,3.176685,-5.908,17.333,0.000,-5.908,17.420,0.309
134,000134.png,-0.324372,-1.005085,3.193017,-5.801,17.389,0.000,-5.801,17.473,0.141
135,000135.png,-0.313057,-1.005319,3.193810,-5.598,17.394,0.000,-5.598,17.472,0.144
136,000136.png,-0.292259,-0.992853,3.150489,-5.300,17.422,0.000,-5.300,17.492,0.096
137,000137.png,-0.282425,-0.995188,3.148833,-5.125,17.473,0.000,-5.125,17.539,0.182
138,000138.png,-0.268385,-0.999814,3.160495,-4.854,17.496,0.000,-4.854,17.555,0.101
139,000139.png,-0.260661,-0.998722,3.141690,-4.743,17.578,0.000,-4.743,17.635,0.228
140,000140.png,-0.251601,-1.005737,3.161523,-4.550,17.595,0.000,-4.550,17.647,0.092
141,000141.png,-0.237301,-0.993239,3.111771,-4.361,17.654,0.000,-4.361,17.702,0.117
142,000142.png,-0.225775,-0.995851,3.104214,-4.160,17.743,0.000,-4.160,17.787,0.346
143,000143.png,-0.216829,-0.993815,3.075692,-4.033,17.865,0.000,-4.033,17.907,0.101
144,000144.png,-0.217962,-1.012964,3.113057,-4.005,17.983,0.000,-4.005,18.024,0.110
145,000145.png,-0.207820,-1.000604,3.064109,-3.880,18.046,0.000,-3.880,18.085,0.056
146,000146.png,-0.208846,-1.009366,3.073119,-3.888,18.144,0.000,-3.888,18.183,0.171
147,000147.png,-0.207511,-1.005975,3.042066,-3.902,18.259,0.000,-3.902,18.298,0.100
148,000148.png,-0.209041,-1.021107,3.075689,-3.888,18.326,0.000,-3.888,18.366,0.174
149,000149.png,-0.207493,-1.005821,3.027141,-3.921,18.340,0.000,-3.921,18.380,0.238
150,000150.png,-0.210339,-1.013687,3.032194,-3.968,18.444,0.000,-3.968,18.485,0.141
151,000151.png,-0.211738,-1.000558,2.995886,-4.043,18.425,0.000,-4.043,18.468,0.101
152,000152.png,-0.217507,-1.004925,2.995918,-4.152,18.498,0.000,-4.152,18.543,0.265
153,000153.png,-0.226006,-0.996788,2.964836,-4.359,18.533,0.000,-4.359,18.583,0.236
154,000154.png,-0.234217,-0.986462,2.932645,-4.566,18.537,0.000,-4.566,18.592,0.181
155,000155.png,-0.244656,-0.986416,2.932456,-4.769,18.532,0.000,-4.769,18.592,0.183
156,000156.png,-0.257867,-0.996484,2.966915,-4.967,18.500,0.000,-4.967,18.565,0.024
157,000157.png,-0.266841,-0.978507,2.926588,-5.210,18.416,0.000,-5.210,18.487,0.181
158,000158.png,-0.286076,-0.974674,2.928208,-5.580,18.329,0.000,-5.580,18.410,0.187
159,000159.png,-0.303593,-0.954527,2.895115,-5.986,18.155,0.000,-5.986,18.248,0.100
160,000160.png,-0.318773,-0.944398,2.889718,-6.295,17.996,0.000,-6.295,18.098,0.180
161,000161.png,-0.334468,-0.939902,2.891704,-6.598,17.894,0.000,-6.598,18.006,0.183
162,000162.png,-0.347902,-0.928544,2.876918,-6.895,17.767,0.000,-6.895,17.888,0.210
163,000163.png,-0.356561,-0.903396,2.814969,-7.219,17.661,0.000,-7.219,17.793,0.183
164,000164.png,-0.364386,-0.900219,2.823684,-7.353,17.546,0.000,-7.353,17.683,0.193
165,000165.png,-0.374503,-0.897050,2.824836,-7.552,17.474,0.000,-7.552,17.618,0.140
166,000166.png,-0.382133,-0.882748,2.795811,-7.783,17.371,0.000,-7.783,17.523,0.339
167,000167.png,-0.385400,-0.871129,2.758651,-7.953,17.367,0.000,-7.953,17.525,0.143
168,000168.png,-0.395469,-0.871613,2.760214,-8.154,17.358,0.000,-8.154,17.525,0.143
169,000169.png,-0.402186,-0.860271,2.729242,-8.383,17.319,0.000,-8.383,17.495,0.164
170,000170.png,-0.416004,-0.868909,2.747113,-8.611,17.366,0.000,-8.611,17.552,0.237
171,000171.png,-0.422691,-0.868859,2.736641,-8.780,17.420,0.000,-8.780,17.614,0.361
172,000172.png,-0.428857,-0.869943,2.728103,-8.934,17.485,0.000,-8.934,17.687,0.098
173,000173.png,-0.426312,-0.863202,2.692774,-8.996,17.569,0.000,-8.996,17.774,0.143
174,000174.png,-0.432382,-0.867580,2.699009,-9.101,17.609,0.000,-9.101,17.820,0.414
175,000175.png,-0.431377,-0.868478,2.694347,-9.096,17.655,0.000,-9.096,17.866,0.145
176,000176.png,-0.428195,-0.859855,2.661913,-9.138,17.689,0.000,-9.138,17.902,0.277
177,000177.png,-0.427695,-0.854250,2.640130,-9.202,17.713,0.000,-9.202,17.930,0.145
178,000178.png,-0.432059,-0.866813,2.662144,-9.219,17.817,0.000,-9.219,18.036,0.059
179,000179.png,-0.434231,-0.868780,2.661080,-9.268,17.860,0.000,-9.268,18.081,0.042
180,000180.png,-0.436907,-0.871715,2.662797,-9.318,17.903,0.000,-9.318,18.127,0.061
181,000181.png,-0.434677,-0.866129,2.639246,-9.353,17.943,0.000,-9.353,18.168,0.139
182,000182.png,-0.432949,-0.864128,2.627391,-9.357,17.979,0.000,-9.357,18.206,0.192
183,000183.png,-0.426820,-0.858380,2.612572,-9.279,17.966,0.000,-9.279,18.188,0.150
184,000184.png,-0.416838,-0.855361,2.597710,-9.116,18.010,0.000,-9.116,18.225,0.376
185,000185.png,-0.400568,-0.851099,2.582119,-8.818,18.041,0.000,-8.818,18.243,0.246
186,000186.png,-0.390617,-0.850332,2.578001,-8.616,18.062,0.000,-8.616,18.255,0.132
187,000187.png,-0.384393,-0.851338,2.575054,-8.490,18.107,0.000,-8.490,18.294,0.048
188,000188.png,-0.377323,-0.848589,2.573632,-8.341,18.068,0.000,-8.341,18.249,0.048
189,000189.png,-0.365569,-0.838478,2.541889,-8.184,18.082,0.000,-8.184,18.256,0.138
190,000190.png,-0.362435,-0.832095,2.541037,-8.118,17.962,0.000,-8.118,18.132,0.365
191,000191.png,-0.351045,-0.819991,2.516495,-7.941,17.886,0.000,-7.941,18.048,0.265
192,000192.png,-0.338967,-0.806623,2.492419,-7.745,17.780,0.000,-7.745,17.933,0.119
193,000193.png,-0.330289,-0.803343,2.505915,-7.509,17.632,0.000,-7.509,17.775,0.331
194,000194.png,-0.323542,-0.791147,2.520280,-7.315,17.294,0.000,-7.315,17.428,0.107
195,000195.png,-0.316705,-0.765783,2.492435,-7.242,16.951,0.000,-7.242,17.079,0.257
196,000196.png,-0.308505,-0.757675,2.484254,-7.079,16.839,0.000,-7.079,16.961,0.130
197,000197.png,-0.301125,-0.750481,2.472232,-6.945,16.769,0.000,-6.945,16.886,0.165
198,000198.png,-0.292298,-0.745449,2.465079,-6.762,16.715,0.000,-6.762,16.826,0.099
199,000199.png,-0.285799,-0.734495,2.436694,-6.690,16.667,0.000,-6.690,16.774,0.109
200,000200.png,-0.283040,-0.736460,2.451786,-6.585,16.615,0.000,-6.585,16.719,0.018
201,000201.png,-0.277498,-0.730178,2.439902,-6.489,16.560,0.000,-6.489,16.661,0.238
202,000202.png,-0.272838,-0.730356,2.437362,-6.387,16.583,0.000,-6.387,16.681,0.105
203,000203.png,-0.266912,-0.727936,2.429068,-6.271,16.588,0.000,-6.271,16.682,0.140
204,000204.png,-0.262531,-0.727824,2.428676,-6.170,16.591,0.000,-6.170,16.682,0.142
205,000205.png,-0.254931,-0.721368,2.401024,-6.061,16.634,0.000,-6.061,16.722,0.237
206,000206.png,-0.252446,-0.717785,2.388473,-6.033,16.639,0.000,-6.033,16.727,0.097
207,000207.png,-0.251739,-0.721926,2.403820,-5.978,16.630,0.000,-5.978,16.716,0.037
208,000208.png,-0.251842,-0.726522,2.404925,-5.978,16.723,0.000,-5.978,16.809,0.035
209,000209.png,-0.248518,-0.721638,2.390421,-5.935,16.713,0.000,-5.935,16.798,0.207
210,000210.png,-0.248518,-0.721638,2.390421,-5.935,16.713,0.000,-5.935,16.798,0.207
211,000211.png,-0.245937,-0.713977,2.356196,-5.959,16.772,0.000,-5.959,16.858,0.257
212,000212.png,-0.248541,-0.725925,2.390637,-5.935,16.806,0.000,-5.935,16.891,0.205
213,000213.png,-0.246929,-0.719707,2.366496,-5.957,16.830,0.000,-5.957,16.916,0.135
214,000214.png,-0.248407,-0.724785,2.376303,-5.968,16.875,0.000,-5.968,16.962,0.148
215,000215.png,-0.248515,-0.723137,2.360815,-6.009,16.942,0.000,-6.009,17.030,0.242
216,000216.png,-0.247328,-0.722823,2.362435,-5.977,16.925,0.000,-5.977,17.012,0.142
217,000217.png,-0.247320,-0.725457,2.361836,-5.978,16.987,0.000,-5.978,17.075,0.260
