frame x y z roll pitch yaw
174 -0.776198 0.868888 1.215138 0.000 0.000 -15.880
175 -0.762695 0.877590 1.215393 0.000 0.000 -15.660
176 -0.747949 0.888935 1.217732 0.000 0.000 -15.500
177 -0.732047 0.902629 1.222105 0.000 0.000 -15.390
180 -0.715080 0.918361 1.228433 0.000 0.000 -15.320
182 -0.697144 0.935814 1.236619 0.000 0.000 -15.290
183 -0.678337 0.954668 1.246538 0.000 0.000 -15.290
184 -0.658755 0.974607 1.258044 0.000 0.000 -15.310
185 -0.638493 0.995325 1.270974 0.000 0.000 -15.350
186 -0.617641 1.016532 1.285142 0.000 0.000 -15.410
187 -0.596284 1.037954 1.300352 0.000 0.000 -15.470
188 -0.574502 1.059342 1.316391 0.000 0.000 -15.530
189 -0.552366 1.080470 1.333037 0.000 0.000 -15.600
191 -0.529940 1.101142 1.350064 0.000 0.000 -15.650
192 -0.507278 1.121185 1.367238 0.000 0.000 -15.700
195 -0.484429 1.140456 1.384329 0.000 0.000 -15.730
196 -0.461429 1.158840 1.401109 0.000 0.000 -15.750
198 -0.438310 1.176243 1.417356 0.000 0.000 -15.750
199 -0.415093 1.192599 1.432857 0.000 0.000 -15.730
200 -0.391794 1.207859 1.447414 0.000 0.000 -15.690
201 -0.368421 1.221995 1.460843 0.000 0.000 -15.620
202 -0.344977 1.234996 1.472976 0.000 0.000 -15.530
203 -0.321458 1.246862 1.483668 0.000 0.000 -15.420
204 -0.297859 1.257605 1.492794 0.000 0.000 -15.280
205 -0.274170 1.267247 1.500251 0.000 0.000 -15.110
206 -0.250377 1.275818 1.505959 0.000 0.000 -14.920
207 -0.226466 1.283353 1.509865 0.000 0.000 -14.700
208 -0.202422 1.289894 1.511936 0.000 0.000 -14.450
209 -0.178229 1.295485 1.512168 0.000 0.000 -14.170
210 -0.153873 1.300175 1.510575 0.000 0.000 -13.860
211 -0.129342 1.304018 1.507197 0.000 0.000 -13.520
212 -0.104623 1.307068 1.502095 0.000 0.000 -13.150
213 -0.079708 1.309385 1.495349 0.000 0.000 -12.750
214 -0.054592 1.311032 1.487059 0.000 0.000 -12.320
215 -0.029274 1.312073 1.477341 0.000 0.000 -11.870
216 -0.003755 1.312578 1.466325 0.000 0.000 -11.380
217 0.021957 1.312616 1.454157 0.000 0.000 -10.870
218 0.047852 1.312261 1.440991 0.000 0.000 -10.330
219 0.073913 1.311588 1.426991 0.000 0.000 -9.760
220 0.100120 1.310670 1.412328 0.000 0.000 -9.170
221 0.126447 1.309582 1.397178 0.000 0.000 -8.560
222 0.152864 1.308398 1.381717 0.000 0.000 -7.930
227 0.179337 1.307187 1.366124 0.000 0.000 -7.280
228 0.205827 1.306016 1.350574 0.000 0.000 -6.610
229 0.232290 1.304944 1.335237 0.000 0.000 -5.930
230 0.258680 1.304027 1.320279 0.000 0.000 -5.240
231 0.284947 1.303312 1.305856 0.000 0.000 -4.530
238 0.311040 1.302836 1.292117 0.000 0.000 -3.820
239 0.336902 1.302630 1.279195 0.000 0.000 -3.100
240 0.362480 1.302713 1.267217 0.000 0.000 -2.380
255 0.387717 1.303094 1.256290 0.000 0.000 -1.660
